gene_id,cluster
CEP126,9
CEP128,3
CEP162,3
CEP170,6
CEP170B,8
CEP19,6
CEP250,2
CEP290,3
CEP41,6
CEP55,9
CEP57,3
CEP63,3
CEP68,8
CEP76,10
CEP95,3
CERK,2
CEROX1,3
CERS1,7
CERS2,4
CERS4,10
CES2,3
CETN2,3
CFAP20DC,1
CFAP251,3
CFAP263,7
CFAP300,9
CFAP36,3
CFAP418,6
CFAP43,2
CFAP44,6
CFAP54,3
CFAP69,3
CFAP70,7
CFAP77,10
CFAP91,3
CFAP92,9
CFL2,3
CFLAR,1
CGN,1
CGNL1,4
CHAF1A,8
CHAF1B,8
CHCHD4,6
CHCHD7,9
CHD1L,8
CHD2,6
CHD3,6
CHD9,3
CHD9NB,1
CHDH,1
CHEK1,5
CHEK2,4
CHGA,3
CHGB,3
CHIC2,6
CHKB-DT,7
CHMP1B,9
CHMP3,3
CHMP5,3
CHMP7,8
CHN1,3
CHN2,6
CHODL,6
CHORDC1,3
CHPT1,9
CHRAC1,3
CHRNA3,9
CHRNA7,3
CHRNB2,6
CHST15,9
CHST6,8
CHST7,1
CHSY1,8
CHTF8,1
CHURC1,3
CIAO1,2
CIAO2A,3
CIART,4
CIB1,9
CIBAR1,3
CILK1,3
CIPC,3
CIR1,3
CISD1,3
CITED1,3
CITED2,4
CKAP5,3
CKB,3
CKLF,9
CKMT1B,1
CKS2,9
CLASP1,3
CLASP2,6
CLCC1,9
CLCN2,1
CLCN3,3
CLCN4,8
CLCN5,9
CLDN10,1
CLDN2,7
CLDN6,1
CLDN7,4
CLDND1,3
CLEC19A,7
CLEC2D,3
CLGN,2
CLHC1,3
CLIC1,9
CLIC6,9
CLINT1,8
CLIP1,7
CLIP4,3
CLK2,8
CLK4,3
CLMP,1
CLN6,8
CLPTM1,8
CLPTM1L,7
CLPX,3
CLSPN,8
CLSTN2,6
CLTCL1,1
CLU,8
CLUAP1,3
CLUHP3,8
CLVS1,7
CLVS2,6
CLYBL,1
CMBL,3
CMC1,4
CMKLR2,2
CMPK1,3
CMTM3,7
CMTM7,3
CNDP2,8
CNGB1,6
CNIH1,3
CNKSR1,5
CNKSR3,8
CNMD,1
CNN2,8
CNN3,10
CNNM1,3
CNNM4,1
CNOT11,7
CNOT2,3
CNOT4,2
CNOT6,3
CNOT6L,3
CNP,7
CNPPD1,3
CNR1,3
CNRIP1,3
CNTLN,3
CNTN2,4
CNTN6,7
CNTNAP1,1
CNTNAP2,5
CNTNAP3,5
CNTRL,3
COA5,3
COA7,1
COBL,1
COCH,4
COG6,3
COG8,8
COIL,3
COL11A1,7
COL13A1,1
COL14A1,1
COL16A1,1
COL1A2,8
COL24A1,3
COL26A1,7
COL27A1,8
COL2A1,7
COL4A1,8
COL4A5,7
COL4A6,7
COL5A2,7
COL9A1,1
COL9A3,1
COLEC12,7
COLGALT1,7
COLGALT2,7
COLQ,3
COMMD3,3
COPA,9
COPB2,3
COPB2-DT,3
COPG1,9
COPG2,4
COPZ1,3
COQ10A,8
COQ10B,4
COQ2,1
COQ5,3
COQ6,9
COQ7,2
COQ8A,4
COQ9,3
CORO2A,1
CORO2B,6
COTL1,2
COX1,1
COX10,8
COX20,3
COX7A2L,3
CPAMD8,7
CPB2-AS1,6
CPE,6
CPEB2,3
CPEB4,3
CPLANE1,3
CPLX2,3
CPNE2,3
CPNE7,4
CPNE8,10
CPPED1,8
CPS1,7
CPSF4,8
CPSF7,7
CPT2,8
CPVL,7
CPZ,1
CRABP2,8
CRADD,3
CRB1,3
CRB2,2
CREB3L2,7
CREB3L4,4
CREB5,6
CREBBP,7
CREBRF,9
CREG1,8
CREG2,9
CRIP3,1
CRISPLD1,3
CRLF3,5
CRMP1,3
CRNDE,5
CROCCP2,7
CROT,2
CRTAP,8
CRTC3,2
CRYBA1,9
CRYBG2,8
CRYBG3,9
CRYL1,3
CRYZL1,6
CS,6
CSF1,8
CSMD2,4
CSPG5,2
CSPP1,3
CSRNP2,2
CSRNP3,6
CSRP1,8
CSRP2,8
CSTB,6
CSTF1,1
CSTF2,8
CSTF2T,4
CTBS,4
CTCF,8
CTDSP1,8
CTDSPL,7
CTH,4
CTNNA1,9
CTNNA2,2
CTNNB1,2
CTNNBIP1,8
CTNND1,8
CTNND2,2
CTNS,8
CTPS1,8
CTPS2,1
CTR9,3
CTSA,8
CTSB,9
CTSC,1
CTSF,1
CTSK,8
CTSO,8
CTSV,1
CTSZ,1
CTTNBP2,1
CUBN,3
CUEDC1,2
CUL4A,8
CUX2,6
CWC22,1
CWC27,8
CX3CL1,3
CXADR,5
CXCL12,1
CXCR4,9
CXXC4,3
CYB561A3,8
CYB561D1,9
CYB5A,3
CYB5D1,8
CYB5R2,1
CYB5R4,3
CYB5RL,7
CYBRD1,9
CYFIP1,7
CYFIP2,2
CYP26A1,4
CYP27A1,9
CYP27C1,2
CYP2R1,3
CYP2S1,4
CYP39A1,6
CYP4V2,2
CYP7B1,7
CYRIA,3
CYRIB,1
CYSTM1,4
CYTB,4
CYTH1,6
CYTH2,7
CYYR1,3
DAAM1,3
DAAM2,7
DAB1,2
DAB2,8
DACH1,7
DACH2,6
DACT1,6
DACT3,3
DAG1,8
DAP,7
DAPK2,8
DAZAP1,8
DAZAP2,3
DAZL,1
DBH,3
DBNDD1,1
DBNDD2,9
DBX1,4
DBX2,7
DCAF11,4
DCAF12,2
DCAF13,7
DCAF16,5
DCAF5,2
DCAF7,3
DCBLD1,9
DCC,6
DCDC1,2
DCHS1,2
DCHS2,3
DCLK1,3
DCLK2,6
DCLRE1C,9
DCP1B,3
DCTD,8
DCTN3,6
DCTN4,3
DCTN5,2
DCTN6,3
DCUN1D2,3
DCUN1D3,1
DCX,6
DCXR,9
DDAH1,2
DDB1,7
DDB2,9
DDHD2,3
DDIAS,1
DDIT3,9
DDIT4L,5
DDOST,8
DDX10,1
DDX19A,8
DDX21,5
DDX24,6
DDX25,1
DDX31,7
DDX42,1
DDX51,7
DDX52,8
DDX55,7
DDX59,9
DDX60,1
DECR1,3
DEDD2,8
DEF8,8
DEGS1,7
DENND10,1
DENND11,3
DENND1B,10
DENND2B,7
DENND3,2
DENND4A,3
DENND4B,3
DENND5B,2
DENR,8
DEPDC5,4
DERA,1
DERL1,3
DESI1,2
DFFB,2
DGCR5,6
DGCR8,8
DGKA,1
DGKB,9
DGKE,2
DGKI,4
DGLUCY,1
DHDDS,1
DHFR,7
DHFR2,3
DHODH,8
DHRS11,8
DHRS12,1
DHRS3,4
DHRS4,8
DHRS4-AS1,3
DHRS4L2,8
DHRS7,3
DHX16,7
DHX30,8
DHX32,9
DHX33,8
DHX40,3
DHX8,8
DIABLO,7
DIAPH1,8
DIAPH2,1
DIAPH3,5
DICER1,3
DIO3,6
DIO3OS,6
DIP2A,2
DIPK1C,7
DIRAS1,6
DIRAS2,3
DIS3L,7
DKC1,7
DKK1,4
DKK3,3
DLAT,5
DLC1,10
DLEU7,9
DLG2,6
DLG3,2
DLGAP1,1
DLK1,7
DLL1,2
DLL3,3
DLX1,6
DLX2,6
DLX5,6
DLX6,6
DMBX1,4
DMC1,1
DMKN,1
DMRT3,10
DMRTA1,10
DMRTA2,7
DMTN,6
DMXL1,3
DNAAF10,8
DNAAF11,6
DNAAF5,8
DNAAF9,6
DNAH10OS,3
DNAH14,4
DNAH6,3
DNAH7,9
DNAI1,3
DNAI4,3
DNAJA1,3
DNAJA3,7
DNAJB1,2
DNAJB11,8
DNAJB2,2
DNAJB5,4
DNAJC1,9
DNAJC11,8
DNAJC12,3
DNAJC15,1
DNAJC16,8
DNAJC18,6
DNAJC24,5
DNAJC28,1
DNAJC3-DT,9
DNAJC6,4
DNAL4,3
DNALI1,3
DNASE1L1,1
DNASE2,9
DNER,6
DNM2,8
DNM3,6
DNMT1,7
DNMT3A,8
DNMT3B,1
DOC2B,6
DOCK10,7
DOCK3,8
DOCK9,1
DOK1,9
DOK4,3
DOK6,3
DOLPP1,5
DONSON,8
DOP1B,7
DPAGT1,2
DPH1,1
DPH2,8
DPH5-DT,2
DPH6,1
DPH7,8
DPP10,3
DPPA4,1
DPY19L2,6
DPY19L2P1,6
DPY19L2P2,6
DPYD,6
DPYSL2,3
DPYSL3,1
DPYSL4,2
DPYSL5,2
DRAM1,9
DRAM2,9
DRAXIN,1
DRC3,2
DRD2,4
DROSHA,8
DRP2,3
DSCC1,5
DSE,8
DSG2,1
DSP,1
DSTN,1
DTD1,3
DTD2,3
DTNA,6
DTNB,1
DTX1,6
DTX3L,4
DTX4,2
DUBR,6
DUSP1,3
DUSP10,9
DUSP14,2
DUSP16,9
DUSP18,3
DUSP28,6
DUSP3,6
DUSP4,6
DUSP5,1
DUSP6,8
DUT,1
DVL3,2
DYDC2,3
DYM,3
DYNC1I1,6
DYNC1I2,6
DYNC2I1,3
DYNC2LI1,3
DYNLL2,7
DYNLT1,3
DYNLT2B,3
DYRK3,6
DYRK4,3
DZANK1,2
DZIP1L,7
E2F2,2
E2F3,8
E2F5,2
E2F6,9
EARS2,1
EBF1,9
EBF3,9
EBF4,3
EBP,5
EBPL,8
ECD,1
ECE1,9
ECEL1,6
ECHDC1,3
ECHDC2,1
ECHDC3,1
ECI2,3
ECPAS,1
EDA,4
EDA2R,9
EDC3,7
EDEM2,4
EDIL3,4
EDNRB,3
EDRF1,10
EEA1,3
EEF1A2,6
EEF1AKMT2,5
EEF1B2,1
EFCAB12,2
EFCAB2,3
EFCAB7,3
EFCC1,9
EFEMP1,8
EFHC1,3
EFHD1,7
EFNA3,3
EFNA4,2
EFNA5,1
EFNB1,3
EFNB2,10
EFNB3,2
EFR3B,7
EFTUD2,8
EGF,7
EGFL6,10
EGFR,3
EGLN1,9
EGLN3,5
EGR1,7
EHBP1,1
EHBP1-AS1,5
EHD2,4
EHD4,1
EHHADH,2
EIF1B,3
EIF2A,3
EIF2AK1,7
EIF2B1,7
EIF2B5,3
EIF2D,3
EIF2S2,1
EIF3A,5
EIF3B,8
EIF3C,8
EIF3D,4
EIF3J-DT,3
EIF4B,4
EIF4E2,1
EIF4E3,7
EIF4ENIF1,7
EIF4G1,8
EIF4G3,6
EIF4H,8
EIF5A,8
EIF5B,1
ELAC2,8
ELAPOR1,6
ELAPOR2,9
ELAVL2,3
ELAVL3,6
ELAVL4,3
ELF2,3
ELF4,9
ELFN2,4
ELK1,8
ELK3,9
ELL2,9
ELMO1,9
ELMO2,2
ELMOD3,3
ELOA,7
ELOA-AS1,3
ELOVL1,9
ELOVL2,2
ELOVL5,9
ELOVL6,9
ELP4,5
EMB,5
EMD,9
EMILIN2,5
EML1,8
EML4,5
EML5,6
EML6,3
EMP1,9
EMX1,8
EMX2,7
EMX2OS,7
ENDOD1,10
ENDOV,2
ENKUR,3
ENO3,8
ENOSF1,2
ENOX1,6
ENOX2,3
ENPP1,1
ENPP2,2
ENPP5,1
ENTPD1,6
ENTPD1-AS1,8
ENTPD4,7
ENTPD7,2
ENTR1,8
ENTREP2,5
EOGT,9
EOLA1,3
EOMES,9
EP400P1,7
EPB41L2,9
EPB41L3,3
EPB41L4B,1
EPC1,3
EPCAM,4
EPCAM-DT,3
EPHA1,1
EPHA2,7
EPHA3,6
EPHA4,1
EPHA7,2
EPHB1,9
EPHB3,3
EPHB4,8
EPHB6,2
EPHX3,4
EPM2A,6
EPOP,1
EPS15,3
EPS8,6
EPS8L2,1
ERAP1,1
ERBB2,8
ERBB3,1
ERBB4,9
ERC2,6
ERCC2,8
ERCC5,3
ERCC6L,1
ERCC6L2,9
ERCC6L2-AS1,9
ERF,7
ERG28,1
ERGIC1,2
ERI2,3
ERICH1,3
ERICH2,1
ERLIN2,8
ERMN,9
ERMP1,1
ERP29,1
ERP44,3
ERRFI1,7
ERV3-1,3
ESD,3
ESRG,4
ESRP1,1
ESRP2,1
ESRRG,6
ESYT1,8
ESYT2,5
ETF1,1
ETFA,2
ETFB,3
ETNK2,6
ETS2,8
ETV4,1
ETV5,8
ETV6,9
EVC2,1
EWSR1,7
EXD2,3
EXO1,8
EXO5,8
EXOC1,3
EXOC2,4
EXOC4,3
EXOC6B,8
EXOSC1,1
EXOSC3,8
EXOSC6,7
EXOSC7,1
EXT1,7
EXT2,7
EXTL3,7
EYA1,4
EYA2,7
EZH2,2
EZR,4
F11R,1
F13A1,1
F2RL1,4
F2RL2,7
F8,8
F8A1,5
FAAH,4
FAAH2,1
FAAP24,9
FABP5,3
FABP7,3
FAF1,10
FAF2,2
FAH,7
FAHD2A,1
FAIM,1
FAM106A,4
FAM107A,3
FAM107B,3
FAM110B,2
FAM111A,1
FAM114A1,2
FAM117A,5
FAM118B,1
FAM120AOS,3
FAM124A,5
FAM131B,5
FAM136A,8
FAM13A-AS1,3
FAM13C,6
FAM149B1,3
FAM161B,3
FAM167A,2
FAM168B,2
FAM171A1,2
FAM171B,2
FAM174B,1
FAM181A,9
FAM181B,3
FAM182A,9
FAM184A,1
FAM200B,3
FAM204A,3
FAM20A,4
FAM210B,6
FAM217B,3
FAM219A,3
FAM221A,9
FAM222B,5
FAM227A,3
FAM227B,3
FAM229B,3
FAM234A,8
FAM241B,3
FAM27C,9
FAM27E3,3
FAM47E,4
FAM53B,3
FAM53C,1
FAM76A,7
FAM81A,9
FAM83B,1
FAM83D,5
FAM83G,5
FAM83H,1
FAM86B1,2
FAM86HP,7
FAM89A,2
FAM8A1,3
FANCD2,5
FANCE,1
FANCI,9
FAP,7
FAR2,1
FARP1,7
FAS,4
FAT1,10
FAT3,3
FAT4,6
FAXC,6
FAXDC2,4
FBLIM1,1
FBLN1,1
FBLN2,1
FBLN7,8
FBN1,10
FBN2,8
FBN3,8
FBXL14,8
FBXL16,6
FBXL17,9
FBXL18,7
FBXL2,3
FBXL5,3
FBXO10,1
FBXO16,10
FBXO2,1
FBXO21,9
FBXO25,6
FBXO27,7
FBXO3,3
FBXO30,5
FBXO33,1
FBXO34,3
FBXO38-DT,3
FBXO41,4
FBXO42,2
FBXO43,9
FBXO46,8
FBXO7,3
FBXO8,3
FBXO9,6
FBXW11,3
FBXW4,1
FBXW7,3
FBXW8,7
FCF1,1
FCHO2,9
FCHSD1,9
FDFT1,3
FDPS,3
FDX1,3
FDX2,8
FDXACB1,3
